method_type,params,explained_variance_ratio,overall_sparsity,mean_sparsity_per_component,interpretable_components,reconstruction_error,converged,n_iter,success,condition,combination_id,bic_score,bic_penalty,explained_var_norm,interpretable_comp_norm,sparsity_score,reconstruction_score,convergence_score,combined_score
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 7, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9584069783763679,0.07142857142857142,0.07142857142857141,0,2.807990571288469,True,3,True,List1,5,3322.114786548979,0.9955151495597315,0.02304154217936162,0.0,0.11904761904761904,0.011577907019376887,1.0,-0.04078167345213188
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.3919258672431421,True,3,True,List1,6,-2882.1342106359853,0.16209394098376106,0.3552895708751564,0.0,0.11904761904761904,0.9503830141585423,1.0,0.34972931877115604
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.3919258672431421,True,3,True,List1,7,-2882.1342106359853,0.16209394098376106,0.3552895708751564,0.0,0.11904761904761904,0.9503830141585423,1.0,0.34972931877115604
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.46609066384473247,True,3,True,List1,8,-2333.9626985941854,0.2357302125583034,0.3552895708751564,0.0,0.11904761904761904,0.9215649573809519,1.0,0.33215208137109986
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,0.46609066384473247,True,3,True,List1,9,-2333.9626985941854,0.2357302125583034,0.3552895708751564,0.0,0.11904761904761904,0.9215649573809519,1.0,0.33215208137109986
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,2.6614508786412987,True,3,True,List1,10,3176.7630548107923,0.9759899473976626,0.3552895708751564,0.0,0.11904761904761904,0.0685185227344377,1.0,0.07094836390303808
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 10, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9794800285552989,0.07142857142857142,0.07142857142857142,0,2.6614508786412987,True,3,True,List1,11,3176.7630548107923,0.9759899473976626,0.3552895708751564,0.0,0.11904761904761904,0.0685185227344377,1.0,0.07094836390303808
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,0.32360087105081703,True,3,True,List1,12,-3471.92572900393,0.08286682416928501,0.47148804603229466,0.0,0.11904761904761904,0.9769319121508933,1.0,0.40283207704375584
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,0.32360087105081703,True,3,True,List1,13,-3471.92572900393,0.08286682416928501,0.47148804603229466,0.0,0.11904761904761904,0.9769319121508933,1.0,0.40283207704375584
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'lars', 'n_components': 12, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9868499934195408,0.07142857142857142,0.07142857142857141,0,0.39832370319978816,True,3,True,List1,14,-2814.7994398354394,0.17113906894126876,0.47148804603229466,0.0,0.11904761904761904,0.9478970206912808,1.0,0.3825878392658569
