Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
51983 (Mip-GAL4 1M),first_major_event_time,-0.6065438197242876,-1,0.3971279557430708,False,0.1152884711528847,False,0.2818394845901861,AGREE
MB504B (All PPL1),first_major_event_time,1.1918764292549129,1,0.0073950059361587,True,0.003999600039996,True,0.0033954058961626994,AGREE
MB312B (PAM-07),first_major_event_time,0.7886865686611995,1,0.0732830793666266,False,0.0270972902709729,False,0.046185789095653705,AGREE
MB304B (PPL1-04),first_major_event_time,0.2973275837195934,1,0.6543221444173015,False,0.4074592540745925,False,0.24686289034270903,AGREE
86615 (LH2201),first_major_event_time,0.2633691171097927,1,1.0,False,0.497950204979502,False,0.5020497950204981,AGREE
9998 (OR67d-GAL4),first_major_event_time,-0.320902653565801,-1,0.8370636154898536,False,0.3492650734926507,False,0.48779854199720296,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,first_major_event_time,-0.2736012358860604,-1,0.739809535239069,False,0.4973502649735026,False,0.2424592702655664,AGREE
854 (OK107-Gal4),first_major_event_time,-0.9370880397756328,-1,0.3302327929924233,False,0.008999100089991,True,0.3212336929024323,"DISAGREE: MW-no, Perm-yes"
41731 (IR8a-GAL4),first_major_event_time,-0.8025934876347596,-1,0.2795922612856251,False,0.1060893910608939,False,0.17350287022473118,AGREE
9943 (GR63a-GAL4),first_major_event_time,-0.8786033332251603,-1,0.2750389932009092,False,0.0113988601139886,True,0.2636401330869206,"DISAGREE: MW-no, Perm-yes"
75823 (LH2446),first_major_event_time,-0.4545180797369885,-1,0.1169433144977557,False,0.1982801719828017,False,0.081336857485046,AGREE
86685 (LH272),first_major_event_time,-0.1554924132942058,-1,0.0554702503200863,False,0.6356364363563644,False,0.580166186036278,AGREE
LC16-1,first_major_event_time,-0.2360061075294144,-1,0.0458471803838197,False,0.4960503949605039,False,0.4502032145766842,AGREE
86720 (LH18),first_major_event_time,0.147781323922781,1,0.6089476244742323,False,0.6716328367163283,False,0.062685212242096,AGREE
SS32219-Gal4 (LAL-2),first_major_event_time,-0.2493819483843709,-1,0.4485960474289485,False,0.4755524447555244,False,0.0269563973265759,AGREE
DDC-gal4,first_major_event_time,-0.9173395797509558,-1,0.0238403564582562,False,0.0128987101289871,True,0.010941646329269101,"DISAGREE: MW-no, Perm-yes"
MB434B,first_major_event_time,-0.3113333026619522,-1,0.5860416230076372,False,0.3794620537946205,False,0.20657956921301668,AGREE
MB418B ,first_major_event_time,-0.2268075926074637,-1,0.3817750795788452,False,0.5226477352264773,False,0.14087265564763213,AGREE
SS32230-Gal4 (LAL-1),first_major_event_time,0.2071572512587262,1,0.4779486596694533,False,0.5509449055094491,False,0.07299624583999575,AGREE
LC22,first_major_event_time,0.4288130525194994,1,0.0642595867234118,False,0.2354764523547645,False,0.1712168656313527,AGREE
75945 (LH1543),first_major_event_time,-0.1840253284632833,-1,0.0535093109762092,False,0.5963403659634037,False,0.5428310549871944,AGREE
MB296B (PPL1-03),first_major_event_time,-0.0811093992947015,-1,0.6799279308955285,False,0.8222177782221778,False,0.1422898473266493,AGREE
50742 (MB247-GAL4),first_major_event_time,-0.2556532144777672,-1,0.7360415692660789,False,0.5068493150684932,False,0.2291922541975857,AGREE
86707 (LH578),first_major_event_time,0.091725543942273,1,0.779061857710557,False,0.7896210378962104,False,0.010559180185653383,AGREE
MB310C,first_major_event_time,-0.0858819984802526,-1,0.2548409558042956,False,0.8076192380761924,False,0.5527782822718967,AGREE
KC-α/βc-GaL4,flailing,-1.134727305161633,-1,0.0088522407684265,False,0.001999800019998,True,0.0068524407484285,"DISAGREE: MW-no, Perm-yes"
72D07-GAL4,flailing,-0.4715073118140576,-1,0.3141029967243296,False,0.1743825617438256,False,0.13972043498050402,AGREE
KC-γmain-GaL4,flailing,0.2372543065990174,1,0.5581846494226572,False,0.4974502549745025,False,0.060734394448154705,AGREE
LC10-2,flailing,-0.2796870139085731,-1,0.141909061056916,False,0.4495550444955504,False,0.30764598343863436,AGREE
51983 (Mip-GAL4 1M),flailing,0.892742545876025,1,0.0400562169968703,False,0.0087991200879912,True,0.0312570969088791,"DISAGREE: MW-no, Perm-yes"
MB504B (All PPL1),flailing,-0.0217935460180242,-1,0.93329217173367,False,0.9517048295170484,False,0.018412657783378417,AGREE
MB312B (PAM-07),flailing,-0.4846785267571578,-1,0.3891894127842222,False,0.1661833816618338,False,0.2230060311223884,AGREE
MB304B (PPL1-04),flailing,0.145149719089744,1,0.4084384353114254,False,0.6928307169283072,False,0.28439228161688185,AGREE
86615 (LH2201),flailing,-0.8995859242471121,-1,0.0738511512778358,False,0.0257974202579742,False,0.0480537310198616,AGREE
9998 (OR67d-GAL4),flailing,1.0957162724473366,1,0.0027911658932925,True,0.000999900009999,True,0.0017912658832934998,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,flailing,-1.2851083832290071,-1,0.0017975360154336,True,0.0021997800219978,True,0.0004022440065642001,AGREE
854 (OK107-Gal4),flailing,-0.5738376522798411,-1,0.0495541454894434,False,0.1042895710428957,False,0.054735425553452295,AGREE
41731 (IR8a-GAL4),flailing,0.1428560527699438,1,0.721120984278879,False,0.7619238076192381,False,0.04080282334035901,AGREE
9943 (GR63a-GAL4),flailing,-0.9836545938723634,-1,0.0027911658932925,True,0.005999400059994,True,0.0032082341667014997,AGREE
75823 (LH2446),flailing,-0.9226755771037296,-1,0.0115739042131595,True,0.0102989701029897,True,0.0012749341101698005,AGREE
86685 (LH272),flailing,-1.4069173179937562,-1,0.0008442153688386,True,9.999000099990002e-05,True,0.0007442253678387,AGREE
LC16-1,flailing,-0.9080225335114116,-1,0.0306318885980378,False,0.0133986601339866,False,0.0172332284640512,AGREE
86720 (LH18),flailing,0.0119050432737241,1,0.9868335403179408,False,0.9698030196980302,False,0.017030520619910616,AGREE
SS32219-Gal4 (LAL-2),flailing,0.2236261743519768,1,0.6296571659649659,False,0.5248475152484752,False,0.10480965071649073,AGREE
DDC-gal4,flailing,1.5679303277896126,1,0.0003213768334752,True,0.0001999800019998,True,0.0001213968314754,AGREE
MB434B,flailing,-0.3130263917864561,-1,0.3640709652228873,False,0.3663633636636336,False,0.0022923984407463016,AGREE
MB418B ,flailing,-0.5371453851792318,-1,0.1248504850671967,False,0.1211878812118788,False,0.0036626038553179002,AGREE
SS32230-Gal4 (LAL-1),flailing,0.2230142421664215,1,0.4779486596694533,False,0.5074492550744926,False,0.029500595405039243,AGREE
LC22,flailing,-0.5548421746097376,-1,0.273464233087508,False,0.1324867513248675,False,0.1409774817626405,AGREE
75945 (LH1543),flailing,-0.9584657863410646,-1,0.0495541454894434,False,0.0066993300669933,False,0.04285481542245011,AGREE
MB296B (PPL1-03),flailing,-1.9259803050661533,-1,1.0522092224232522e-05,True,9.999000099990002e-05,True,8.946790877566749e-05,AGREE
50742 (MB247-GAL4),flailing,2.4185118468050657,1,0.000121569585535,True,9.999000099990002e-05,True,2.157958453509999e-05,AGREE
86707 (LH578),flailing,-1.3538280739556914,-1,0.0006354614130261,True,0.0003999600039996,True,0.0002355014090265,AGREE
